what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1494364310600
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1494364330823
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1494364334221
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1494364338710
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1494364340260
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1494364356378
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1494364385253
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364476084
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364495019
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364520136
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364527847
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1494364533715
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1494364548064
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364553950
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364555083
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364555800
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1494364642814
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1494364649792
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1494364650960
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1494364651528
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1494364667085
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1494364668266
started,bundle,org.eclipse.equinox.p2.ui,1.0.100.v20090527-1812,"org.eclipse.equinox.p2.ui",1494364674787
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1494364674787
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1494364675041
